,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-810.0,0.569,0.1472,0.1324,0.929,0.062,-810.0,-900,-720,0.1324
-800.0,0.569,0.1472,0.1341,0.929,0.062,-800.0,-890,-710,0.1341
-790.0,0.569,0.1472,0.1375,0.929,0.062,-790.0,-880,-700,0.1375
-780.0,0.569,0.1472,0.1419,0.929,0.062,-780.0,-870,-690,0.1419
-770.0,0.569,0.1472,0.1482,0.929,0.062,-770.0,-860,-680,0.1482
-760.0,0.569,0.1472,0.1472,0.929,0.062,-760.0,-850,-670,0.1472
-750.0,0.569,0.1472,0.1515,0.929,0.062,-750.0,-840,-660,0.1515
-740.0,0.569,0.1472,0.1376,0.929,0.062,-740.0,-830,-650,0.1376
-730.0,0.569,0.1472,0.1263,0.929,0.062,-730.0,-820,-640,0.1263
-720.0,0.569,0.1472,0.1279,0.929,0.062,-720.0,-810,-630,0.1279
-710.0,0.569,0.1472,0.1238,0.929,0.062,-710.0,-800,-620,0.1238
-700.0,0.569,0.1472,0.1234,0.929,0.062,-700.0,-790,-610,0.1234
-690.0,0.569,0.1472,0.1151,0.929,0.062,-690.0,-780,-600,0.1151
-680.0,0.569,0.1472,0.1123,0.929,0.062,-680.0,-770,-590,0.1123
-670.0,0.569,0.1472,0.1162,0.929,0.062,-670.0,-760,-580,0.1162
-660.0,0.569,0.1472,0.1069,0.929,0.062,-660.0,-750,-570,0.1069
-650.0,0.569,0.1472,0.1012,0.929,0.062,-650.0,-740,-560,0.1012
-640.0,0.569,0.1472,0.1065,0.929,0.062,-640.0,-730,-550,0.1065
-630.0,0.569,0.1472,0.0978,0.929,0.062,-630.0,-720,-540,0.0978
-620.0,0.569,0.1472,0.0897,0.929,0.062,-620.0,-710,-530,0.0897
-610.0,0.569,0.1472,0.0817,0.929,0.062,-610.0,-700,-520,0.0817
-600.0,0.569,0.1472,0.084,0.929,0.062,-600.0,-690,-510,0.084
-590.0,0.569,0.1472,0.0837,0.929,0.062,-590.0,-680,-500,0.0837
-580.0,0.569,0.1472,0.0841,0.929,0.062,-580.0,-670,-490,0.0841
-570.0,0.569,0.1472,0.0798,0.929,0.062,-570.0,-660,-480,0.0798
-560.0,0.569,0.1472,0.087,0.929,0.062,-560.0,-650,-470,0.087
-550.0,0.569,0.1472,0.091,0.929,0.062,-550.0,-640,-460,0.091
-540.0,0.569,0.1472,0.091,0.929,0.062,-540.0,-630,-450,0.091
-530.0,0.569,0.1472,0.0946,0.929,0.062,-530.0,-620,-440,0.0946
-520.0,0.569,0.1472,0.1036,0.929,0.062,-520.0,-610,-430,0.1036
-510.0,0.569,0.1472,0.1047,0.929,0.062,-510.0,-600,-420,0.1047
-500.0,0.569,0.1472,0.1069,0.929,0.062,-500.0,-590,-410,0.1069
-490.0,0.569,0.1472,0.1005,0.929,0.062,-490.0,-580,-400,0.1005
-480.0,0.569,0.1472,0.1003,0.929,0.062,-480.0,-570,-390,0.1003
-470.0,0.569,0.1472,0.1003,0.929,0.062,-470.0,-560,-380,0.1003
-460.0,0.569,0.1472,0.0986,0.929,0.062,-460.0,-550,-370,0.0986
-450.0,0.569,0.1472,0.1133,0.929,0.062,-450.0,-540,-360,0.1133
-440.0,0.569,0.1472,0.1166,0.929,0.062,-440.0,-530,-350,0.1166
-430.0,0.569,0.1472,0.1253,0.929,0.062,-430.0,-520,-340,0.1253
-420.0,0.569,0.1472,0.1246,0.929,0.062,-420.0,-510,-330,0.1246
-410.0,0.569,0.1472,0.1153,0.929,0.062,-410.0,-500,-320,0.1153
-400.0,0.569,0.1472,0.1187,0.929,0.062,-400.0,-490,-310,0.1187
-390.0,0.569,0.1472,0.1217,0.929,0.062,-390.0,-480,-300,0.1217
-380.0,0.569,0.1472,0.122,0.929,0.062,-380.0,-470,-290,0.122
-370.0,0.569,0.1472,0.1109,0.929,0.062,-370.0,-460,-280,0.1109
-360.0,0.569,0.1472,0.1044,0.929,0.062,-360.0,-450,-270,0.1044
-350.0,0.569,0.1472,0.1103,0.929,0.062,-350.0,-440,-260,0.1103
-340.0,0.569,0.1472,0.0974,0.929,0.062,-340.0,-430,-250,0.0974
-330.0,0.569,0.1472,0.0958,0.929,0.062,-330.0,-420,-240,0.0958
-320.0,0.569,0.1472,0.0978,0.929,0.062,-320.0,-410,-230,0.0978
-310.0,0.569,0.1472,0.1224,0.929,0.062,-310.0,-400,-220,0.1224
-300.0,0.569,0.1472,0.1187,0.929,0.062,-300.0,-390,-210,0.1187
-290.0,0.569,0.1472,0.1177,0.929,0.062,-290.0,-380,-200,0.1177
-280.0,0.569,0.1472,0.116,0.929,0.062,-280.0,-370,-190,0.116
-270.0,0.569,0.1472,0.1173,0.929,0.062,-270.0,-360,-180,0.1173
-260.0,0.569,0.1472,0.1243,0.929,0.062,-260.0,-350,-170,0.1243
-250.0,0.569,0.1472,0.1233,0.929,0.062,-250.0,-340,-160,0.1233
-240.0,0.569,0.1472,0.123,0.929,0.062,-240.0,-330,-150,0.123
-230.0,0.569,0.1472,0.1297,0.929,0.062,-230.0,-320,-140,0.1297
-220.0,0.569,0.1472,0.1273,0.929,0.062,-220.0,-310,-130,0.1273
-210.0,0.569,0.1472,0.1239,0.929,0.062,-210.0,-300,-120,0.1239
-200.0,0.569,0.1472,0.124,0.929,0.062,-200.0,-290,-110,0.124
-190.0,0.569,0.1472,0.1237,0.929,0.062,-190.0,-280,-100,0.1237
-180.0,0.569,0.1472,0.1224,0.929,0.062,-180.0,-270,-90,0.1224
-170.0,0.569,0.1472,0.1129,0.929,0.062,-170.0,-260,-80,0.1129
-160.0,0.569,0.1472,0.1106,0.929,0.062,-160.0,-250,-70,0.1106
-150.0,0.569,0.1472,0.1102,0.929,0.062,-150.0,-240,-60,0.1102
-140.0,0.569,0.1472,0.1074,0.929,0.062,-140.0,-230,-50,0.1074
-130.0,0.569,0.1472,0.0901,0.929,0.062,-130.0,-220,-40,0.0901
-120.0,0.569,0.1472,0.0944,0.929,0.062,-120.0,-210,-30,0.0944
-110.0,0.569,0.1472,0.0992,0.929,0.062,-110.0,-200,-20,0.0992
-100.0,0.569,0.1472,0.1021,0.929,0.062,-100.0,-190,-10,0.1021
-90.0,0.569,0.1472,0.0949,0.929,0.062,-90.0,-180,0,0.0949
-80.0,0.569,0.1472,0.089,0.929,0.062,-80.0,-170,10,0.089
-70.0,0.569,0.1472,0.0866,0.929,0.062,-70.0,-160,20,0.0866
-60.0,0.569,0.1472,0.0859,0.929,0.062,-60.0,-150,30,0.0859
-50.0,0.569,0.1472,0.0969,0.929,0.062,-50.0,-140,40,0.0969
-40.0,0.569,0.1472,0.1024,0.929,0.062,-40.0,-130,50,0.1024
-30.0,0.569,0.1472,0.108,0.929,0.062,-30.0,-120,60,0.108
-20.0,0.569,0.1472,0.0984,0.929,0.062,-20.0,-110,70,0.0984
-10.0,0.569,0.1472,0.109,0.929,0.062,-10.0,-100,80,0.109
0.0,0.569,0.1472,0.1083,0.929,0.062,0.0,-90,90,0.1083
10.0,0.569,0.1472,0.112,0.929,0.062,10.0,-80,100,0.112
20.0,0.569,0.1472,0.1167,0.929,0.062,20.0,-70,110,0.1167
30.0,0.569,0.1472,0.1332,0.929,0.062,30.0,-60,120,0.1332
40.0,0.569,0.1472,0.1626,0.929,0.062,40.0,-50,130,0.1626
50.0,0.569,0.1472,0.1689,0.929,0.062,50.0,-40,140,0.1689
60.0,0.569,0.1472,0.1788,0.929,0.062,60.0,-30,150,0.1788
70.0,0.569,0.1472,0.1951,0.929,0.062,70.0,-20,160,0.1951
80.0,0.569,0.1472,0.206,0.929,0.062,80.0,-10,170,0.206
90.0,0.569,0.1472,0.2351,0.929,0.062,90.0,0,180,0.2351
100.0,0.569,0.1472,0.2674,0.929,0.062,100.0,10,190,0.2674
110.0,0.569,0.1472,0.2758,0.929,0.062,110.0,20,200,0.2758
120.0,0.569,0.1472,0.284,0.929,0.062,120.0,30,210,0.284
130.0,0.569,0.1472,0.2689,0.929,0.062,130.0,40,220,0.2689
140.0,0.569,0.1472,0.2657,0.929,0.062,140.0,50,230,0.2657
150.0,0.569,0.1472,0.2901,0.929,0.062,150.0,60,240,0.2901
160.0,0.569,0.1472,0.3259,0.929,0.062,160.0,70,250,0.3259
